觀測時間,測站氣壓,海平面氣壓,測站最高氣壓,測站最高氣壓時間,測站最低氣壓,測站最低氣壓時間,氣溫,最高氣溫,最高氣溫時間,最低氣溫,最低氣溫時間,露點溫度,相對溼度,最小相對溼度,最小相對溼度時間,風速,風向,最大陣風,最大陣風風向,最大陣風風速時間,降水量,降水時數,10分鐘最大降水量,10分鐘最大降水起始時間,一小時最大降水量,一小時最大降水量起始時間,日照時數,日照率,全天空日射量,能見度,A型蒸發量
1,1017.7,1021.3,1019.5,2017-12-01 09:12,1016.3,2017-12-01 15:15,19.2,20.5,2017-12-01 10:54,18.8,2017-12-01 18:15,15.6,80,76,2017-12-01 00:47,4.4,50,13.1,60,2017-12-01 11:28,1.2,11.4,0.8,2017-12-01 19:26,1.1,2017-12-01 18:50,0.0,0.0,5.19,10.0,-1.3
2,1016.3,1019.9,1018.7,2017-12-02 07:51,1014.5,2017-12-02 14:15,19.4,20.5,2017-12-02 19:47,18.2,2017-12-02 04:35,16.7,84,82,2017-12-02 13:56,3.8,50,11.8,50,2017-12-02 03:46,2.7,12.9,1.1,2017-12-02 06:36,1.6,2017-12-02 06:01,0.0,0.0,4.03,14.3,-0.5
3,1014.4,1018.0,1016.3,2017-12-03 09:07,1012.4,2017-12-03 16:06,20.4,21.9,2017-12-03 11:51,19.4,2017-12-03 00:01,17.1,82,73,2017-12-03 23:38,2.8,60,10.7,60,2017-12-03 12:21,0.4,0.9,0.3,2017-12-03 10:32,0.4,2017-12-03 10:32,0.0,0.0,5.91,15.0,-1.3
4,1016.0,1019.6,1017.6,2017-12-04 23:27,1014.5,2017-12-04 03:06,20.0,22.8,2017-12-04 10:59,18.5,2017-12-04 23:28,13.9,68,59,2017-12-04 18:54,2.0,10,13.3,50,2017-12-04 21:14,0.0,0.0,0.0,,0.0,,0.7,6.6,4.06,10.0,-1.4
5,1018.6,1022.2,1021.5,2017-12-05 08:40,1016.5,2017-12-05 23:55,16.9,18.8,2017-12-05 00:34,15.4,2017-12-05 07:04,10.3,66,57,2017-12-05 03:07,2.6,50,10.2,70,2017-12-05 23:43,1.1,1.9,0.7,2017-12-05 06:45,1.0,2017-12-05 06:45,0.0,0.0,0.00,10.5,-2.2
6,1016.4,1020.0,1017.6,2017-12-06 06:05,1015.0,2017-12-06 15:06,16.5,17.2,2017-12-06 18:48,15.2,2017-12-06 06:32,11.2,71,59,2017-12-06 00:01,3.4,50,12.6,50,2017-12-06 04:46,1.1,10.6,0.1,2017-12-06 22:25,0.4,2017-12-06 22:00,0.0,0.0,2.01,20.0,-1.1
7,1014.5,1018.1,1015.9,2017-12-07 23:00,1012.8,2017-12-07 13:37,17.3,18.7,2017-12-07 10:46,16.4,2017-12-07 03:55,15.1,87,84,2017-12-07 00:01,1.6,50,7.5,50,2017-12-07 21:41,22.1,22.9,1.0,2017-12-07 13:05,3.9,2017-12-07 12:40,0.0,0.0,2.10,7.4,-0.9
8,1019.2,1022.9,1021.5,2017-12-08 08:44,1015.8,2017-12-08 00:01,15.1,16.6,2017-12-08 00:01,13.6,2017-12-08 21:50,10.0,72,57,2017-12-08 15:35,2.0,10,10.6,10,2017-12-08 12:24,7.9,11.7,0.9,2017-12-08 02:32,2.5,2017-12-08 01:57,0.0,0.0,1.69,8.3,-0.1
9,1015.2,1018.8,1019.0,2017-12-09 00:02,1013.0,2017-12-09 20:00,15.2,16.8,2017-12-09 16:26,13.6,2017-12-09 00:22,12.0,81,72,2017-12-09 03:53,2.2,50,7.8,40,2017-12-09 16:30,3.5,13.7,0.5,2017-12-09 05:08,1.5,2017-12-09 08:19,0.0,0.0,1.83,11.8,-1.1
10,1014.1,1017.7,1016.0,2017-12-10 22:24,1012.4,2017-12-10 14:05,17.3,22.4,2017-12-10 13:46,12.7,2017-12-10 04:41,13.5,79,68,2017-12-10 15:07,1.2,50,8.6,60,2017-12-10 22:14,0.0,0.0,0.0,,0.0,,6.6,62.5,10.98,15.3,2.2
11,1016.6,1020.2,1017.8,2017-12-11 09:26,1015.4,2017-12-11 14:12,18.1,18.9,2017-12-11 00:01,17.6,2017-12-11 04:18,10.6,62,57,2017-12-11 22:35,3.6,50,13.6,40,2017-12-11 07:49,0.0,0.0,0.0,,0.0,,0.0,0.0,3.59,12.0,-0.5
12,1016.8,1020.4,1018.8,2017-12-12 09:21,1015.4,2017-12-12 15:13,17.0,18.3,2017-12-12 00:02,16.3,2017-12-12 05:09,13.7,81,58,2017-12-12 00:38,3.4,50,11.6,60,2017-12-12 01:50,10.0,19.3,0.8,2017-12-12 07:52,2.6,2017-12-12 07:30,0.0,0.0,2.24,6.0,-4.3
13,1016.7,1020.4,1018.7,2017-12-13 22:02,1014.4,2017-12-13 04:58,17.4,18.7,2017-12-13 09:07,16.2,2017-12-13 20:54,14.7,84,80,2017-12-13 13:11,4.7,50,14.1,40,2017-12-13 17:42,0.2,9.5,0.0,,0.1,2017-12-13 00:01,0.0,0.0,5.10,10.0,-1.0
14,1016.0,1019.6,1017.9,2017-12-14 00:01,1014.6,2017-12-14 14:37,19.1,21.9,2017-12-14 11:39,16.2,2017-12-14 00:01,14.9,77,71,2017-12-14 11:39,4.3,50,12.6,40,2017-12-14 12:22,0.0,0.0,0.0,,0.0,,2.6,24.7,8.84,26.3,2.0
15,1014.6,1018.1,1016.3,2017-12-15 08:53,1011.6,2017-12-15 13:48,21.1,24.7,2017-12-15 13:50,18.6,2017-12-15 05:54,15.6,71,61,2017-12-15 14:12,3.0,50,13.2,60,2017-12-15 12:21,0.0,0.0,0.0,,0.0,,5.6,53.1,12.22,25.0,-0.9
16,1019.6,1023.3,1024.6,2017-12-16 21:43,1014.9,2017-12-16 00:38,17.5,20.2,2017-12-16 00:05,13.8,2017-12-16 23:41,13.4,77,69,2017-12-16 00:05,2.1,50,10.4,10,2017-12-16 15:23,0.4,2.9,0.3,2017-12-16 05:02,0.4,2017-12-16 05:02,0.0,0.0,0.66,20.5,1.2
17,1023.6,1027.3,1025.5,2017-12-17 08:33,1021.5,2017-12-17 14:36,13.5,14.4,2017-12-17 22:41,12.8,2017-12-17 05:22,9.8,79,71,2017-12-17 07:24,3.2,50,10.7,50,2017-12-17 00:57,0.7,14.6,0.1,2017-12-17 17:22,0.2,2017-12-17 15:28,0.0,0.0,0.38,8.0,-1.0
18,1021.5,1025.2,1023.3,2017-12-18 09:20,1019.4,2017-12-18 14:20,14.7,15.7,2017-12-18 14:15,13.7,2017-12-18 05:53,12.2,85,76,2017-12-18 01:07,2.8,50,10.5,70,2017-12-18 13:45,2.5,8.9,0.5,2017-12-18 06:30,0.9,2017-12-18 05:40,0.0,0.0,2.72,9.3,-0.3
